date,desc,amount,currency,cat,subcat
2024-01-06,Simulated expense for Food & Dining - Coffee,-4.03,USD,Food & Dining,Coffee
2024-01-05,Simulated expense for Food & Dining - Coffee,-2.33,USD,Food & Dining,Coffee
2024-01-05,Simulated expense for Food & Dining - Coffee,-2.91,USD,Food & Dining,Coffee
2024-01-12,Simulated expense for Food & Dining - Coffee,-6.79,USD,Food & Dining,Coffee
2024-01-07,Simulated expense for Food & Dining - Coffee,-7.05,USD,Food & Dining,Coffee
2024-01-31,Simulated expense for Food & Dining - Coffee,-3.75,USD,Food & Dining,Coffee
2024-01-15,Simulated expense for Food & Dining - Takeout,-9.16,USD,Food & Dining,Takeout
2024-01-17,Simulated expense for Food & Dining - Takeout,-19.35,USD,Food & Dining,Takeout
2024-01-10,Simulated expense for Food & Dining - Takeout,-28.22,USD,Food & Dining,Takeout
2024-01-29,Simulated expense for Food & Dining - Takeout,-26.72,USD,Food & Dining,Takeout
2024-01-03,Simulated expense for Food & Dining - Takeout,-31.99,USD,Food & Dining,Takeout
2024-01-23,Simulated expense for Food & Dining - Takeout,-18.94,USD,Food & Dining,Takeout
2024-01-03,Simulated expense for Food & Dining - Takeout,-14.46,USD,Food & Dining,Takeout
2024-01-02,Simulated expense for Food & Dining - Takeout,-41.61,USD,Food & Dining,Takeout
2024-01-29,Simulated expense for Food & Dining - Takeout,-29.54,USD,Food & Dining,Takeout
2024-01-08,Simulated expense for Food & Dining - Takeout,-49.16,USD,Food & Dining,Takeout
2024-01-18,Simulated expense for Food & Dining - Takeout,-31.16,USD,Food & Dining,Takeout
2024-01-08,Simulated expense for Accommodation - Accommodation,-393.01,USD,Accommodation,Accommodation
2024-01-02,Simulated expense for Incoming P2P Transfers - Incoming Money,155.3,USD,Incoming P2P Transfers,Incoming Money
2024-01-25,Simulated expense for Outgoing P2P Transfers - Outgoing Money,-312.78,USD,Outgoing P2P Transfers,Outgoing Money
2024-01-08,Simulated expense for Outgoing P2P Transfers - Outgoing Money,-720.92,USD,Outgoing P2P Transfers,Outgoing Money
2024-01-19,Simulated expense for Outgoing P2P Transfers - Outgoing Money,-38.31,USD,Outgoing P2P Transfers,Outgoing Money
2024-01-23,Simulated expense for Outgoing P2P Transfers - Outgoing Money,-787.99,USD,Outgoing P2P Transfers,Outgoing Money
2024-01-11,Simulated expense for Cash Withdrawal - Cash Withdrawal,-171.32,USD,Cash Withdrawal,Cash Withdrawal
2024-01-24,Simulated expense for Cash Withdrawal - Cash Withdrawal,-179.07,USD,Cash Withdrawal,Cash Withdrawal
2024-01-02,Simulated expense for Cash Withdrawal - Cash Withdrawal,-170.93,USD,Cash Withdrawal,Cash Withdrawal
2024-01-26,Simulated expense for Cash Deposit - Cash Deposit,-202.43,USD,Cash Deposit,Cash Deposit
2024-01-27,Simulated expense for Cash Deposit - Cash Deposit,-85.92,USD,Cash Deposit,Cash Deposit
2024-01-14,Simulated expense for Transportation - Fuel,-34.03,USD,Transportation,Fuel
2024-01-24,Simulated expense for Transportation - Fuel,-33.8,USD,Transportation,Fuel
2024-01-01,Simulated expense for Transportation - Fuel,-24.83,USD,Transportation,Fuel
2024-01-05,Simulated expense for Transportation - Fuel,-21.03,USD,Transportation,Fuel
2024-01-25,Simulated expense for Transportation - Fuel,-30.21,USD,Transportation,Fuel
2024-01-09,Simulated expense for Transportation - Fuel,-32.15,USD,Transportation,Fuel
2024-01-21,Simulated expense for Transportation - Fuel,-16.48,USD,Transportation,Fuel
2024-01-05,Simulated expense for Transportation - Fuel,-34.73,USD,Transportation,Fuel
2024-01-07,Simulated expense for Transportation - Taxi,-17.29,USD,Transportation,Taxi
2024-01-25,Simulated expense for Transportation - Taxi,-14.33,USD,Transportation,Taxi
2024-01-27,Simulated expense for Transportation - Taxi,-13.76,USD,Transportation,Taxi
2024-01-08,Simulated expense for Transportation - Taxi,-17.31,USD,Transportation,Taxi
2024-01-01,Simulated expense for Transportation - Taxi,-17.17,USD,Transportation,Taxi
2024-01-07,Simulated expense for Transportation - Taxi,-18.89,USD,Transportation,Taxi
2024-01-16,Simulated expense for Transportation - Taxi,-11.12,USD,Transportation,Taxi
2024-01-01,Simulated expense for Transportation - Taxi,-17.56,USD,Transportation,Taxi
2024-01-15,Simulated expense for Transportation - Taxi,-14.32,USD,Transportation,Taxi
2024-01-16,Simulated expense for Transportation - Taxi,-18.53,USD,Transportation,Taxi
2024-01-09,Simulated expense for Transportation - Taxi,-12.94,USD,Transportation,Taxi
2024-01-17,Simulated expense for Transportation - Taxi,-18.18,USD,Transportation,Taxi
2024-01-26,Simulated expense for Transportation - Taxi,-19.44,USD,Transportation,Taxi
2024-01-09,Simulated expense for Transportation - Taxi,-16.93,USD,Transportation,Taxi
2024-01-12,Simulated expense for Transportation - Taxi,-14.52,USD,Transportation,Taxi
2024-01-19,Simulated expense for Transportation - Public Transportation,-15.18,USD,Transportation,Public Transportation
2024-01-20,Simulated expense for Transportation - Vehicle Maintenance,-381.65,USD,Transportation,Vehicle Maintenance
2024-01-11,Simulated expense for Healthcare - Medical Bills,-263.6,USD,Healthcare,Medical Bills
2024-01-16,Simulated expense for Healthcare - Medications,-14.1,USD,Healthcare,Medications
2024-01-13,Simulated expense for Retail Purchases - Clothes,-240.12,USD,Retail Purchases,Clothes
2024-01-08,Simulated expense for Retail Purchases - Technology Items,-93.85,USD,Retail Purchases,Technology Items
2024-01-28,Simulated expense for Retail Purchases - Technology Items,-61.54,USD,Retail Purchases,Technology Items
2024-01-27,Simulated expense for Retail Purchases - Other,-17.82,USD,Retail Purchases,Other
2024-01-23,Simulated expense for Retail Purchases - Other,-69.75,USD,Retail Purchases,Other
2024-01-16,Simulated expense for Retail Purchases - Other,-29.02,USD,Retail Purchases,Other
2024-01-17,Simulated expense for Personal Care - Personal Grooming,-21.9,USD,Personal Care,Personal Grooming
2024-01-29,Simulated expense for Personal Care - Fitness,-31.1,USD,Personal Care,Fitness
2024-01-02,Simulated expense for Online Subscriptions & Services - Streaming & Digital Subscriptions,-14.23,USD,Online Subscriptions & Services,Streaming & Digital Subscriptions
2024-01-02,Simulated expense for Online Subscriptions & Services - Streaming & Digital Subscriptions,-17.3,USD,Online Subscriptions & Services,Streaming & Digital Subscriptions
2024-01-25,Simulated expense for Online Subscriptions & Services - Streaming & Digital Subscriptions,-12.42,USD,Online Subscriptions & Services,Streaming & Digital Subscriptions
2024-01-01,Simulated expense for Online Subscriptions & Services - Streaming & Digital Subscriptions,-9.44,USD,Online Subscriptions & Services,Streaming & Digital Subscriptions
2024-02-23,Simulated expense for Food & Dining - Groceries,-40.37,USD,Food & Dining,Groceries
2024-02-19,Simulated expense for Food & Dining - Groceries,-130.68,USD,Food & Dining,Groceries
2024-02-18,Simulated expense for Food & Dining - Groceries,-122.25,USD,Food & Dining,Groceries
2024-02-27,Simulated expense for Food & Dining - Groceries,-108.06,USD,Food & Dining,Groceries
2024-02-19,Simulated expense for Food & Dining - Groceries,-31.86,USD,Food & Dining,Groceries
2024-02-11,Simulated expense for Food & Dining - Groceries,-55.53,USD,Food & Dining,Groceries
2024-02-11,Simulated expense for Food & Dining - Groceries,-79.78,USD,Food & Dining,Groceries
2024-02-22,Simulated expense for Food & Dining - Restaurants,-107.56,USD,Food & Dining,Restaurants
2024-02-06,Simulated expense for Food & Dining - Restaurants,-73.61,USD,Food & Dining,Restaurants
2024-02-06,Simulated expense for Food & Dining - Restaurants,-188.89,USD,Food & Dining,Restaurants
2024-02-08,Simulated expense for Food & Dining - Restaurants,-128.3,USD,Food & Dining,Restaurants
2024-02-20,Simulated expense for Food & Dining - Restaurants,-46.83,USD,Food & Dining,Restaurants
2024-02-14,Simulated expense for Food & Dining - Coffee,-11.81,USD,Food & Dining,Coffee
2024-02-08,Simulated expense for Food & Dining - Coffee,-6.62,USD,Food & Dining,Coffee
2024-02-15,Simulated expense for Food & Dining - Coffee,-3.16,USD,Food & Dining,Coffee
2024-02-17,Simulated expense for Food & Dining - Coffee,-2.68,USD,Food & Dining,Coffee
2024-02-17,Simulated expense for Food & Dining - Coffee,-12.29,USD,Food & Dining,Coffee
2024-02-09,Simulated expense for Food & Dining - Coffee,-11.52,USD,Food & Dining,Coffee
2024-02-07,Simulated expense for Food & Dining - Coffee,-7.41,USD,Food & Dining,Coffee
2024-02-02,Simulated expense for Food & Dining - Coffee,-5.19,USD,Food & Dining,Coffee
2024-02-21,Simulated expense for Food & Dining - Coffee,-10.63,USD,Food & Dining,Coffee
2024-02-16,Simulated expense for Food & Dining - Coffee,-7.61,USD,Food & Dining,Coffee
2024-02-10,Simulated expense for Food & Dining - Coffee,-5.56,USD,Food & Dining,Coffee
2024-02-01,Simulated expense for Food & Dining - Coffee,-4.94,USD,Food & Dining,Coffee
2024-02-02,Simulated expense for Food & Dining - Coffee,-14.84,USD,Food & Dining,Coffee
2024-02-08,Simulated expense for Food & Dining - Coffee,-3.41,USD,Food & Dining,Coffee
2024-02-12,Simulated expense for Food & Dining - Coffee,-11.04,USD,Food & Dining,Coffee
2024-02-09,Simulated expense for Food & Dining - Coffee,-7.81,USD,Food & Dining,Coffee
2024-02-16,Simulated expense for Food & Dining - Coffee,-13.03,USD,Food & Dining,Coffee
2024-02-18,Simulated expense for Food & Dining - Coffee,-13.78,USD,Food & Dining,Coffee
2024-02-28,Simulated expense for Food & Dining - Coffee,-4.34,USD,Food & Dining,Coffee
2024-02-18,Simulated expense for Food & Dining - Coffee,-6.91,USD,Food & Dining,Coffee
2024-02-29,Simulated expense for Food & Dining - Coffee,-13.66,USD,Food & Dining,Coffee
2024-02-24,Simulated expense for Food & Dining - Coffee,-3.9,USD,Food & Dining,Coffee
2024-02-20,Simulated expense for Food & Dining - Coffee,-9.63,USD,Food & Dining,Coffee
2024-02-06,Simulated expense for Food & Dining - Coffee,-7.72,USD,Food & Dining,Coffee
2024-02-25,Simulated expense for Food & Dining - Coffee,-7.03,USD,Food & Dining,Coffee
2024-02-25,Simulated expense for Food & Dining - Coffee,-13.86,USD,Food & Dining,Coffee
2024-02-12,Simulated expense for Food & Dining - Coffee,-12.59,USD,Food & Dining,Coffee
2024-02-14,Simulated expense for Food & Dining - Coffee,-8.32,USD,Food & Dining,Coffee
2024-02-15,Simulated expense for Food & Dining - Coffee,-9.0,USD,Food & Dining,Coffee
2024-02-29,Simulated expense for Food & Dining - Coffee,-2.16,USD,Food & Dining,Coffee
2024-02-10,Simulated expense for Food & Dining - Coffee,-7.11,USD,Food & Dining,Coffee
2024-02-27,Simulated expense for Food & Dining - Coffee,-6.39,USD,Food & Dining,Coffee
2024-02-20,Simulated expense for Food & Dining - Coffee,-3.97,USD,Food & Dining,Coffee
2024-02-09,Simulated expense for Food & Dining - Coffee,-12.45,USD,Food & Dining,Coffee
2024-02-17,Simulated expense for Food & Dining - Coffee,-9.51,USD,Food & Dining,Coffee
2024-02-05,Simulated expense for Food & Dining - Coffee,-13.23,USD,Food & Dining,Coffee
2024-02-11,Simulated expense for Food & Dining - Coffee,-13.36,USD,Food & Dining,Coffee
2024-02-27,Simulated expense for Food & Dining - Takeout,-11.72,USD,Food & Dining,Takeout
2024-02-22,Simulated expense for Food & Dining - Takeout,-24.84,USD,Food & Dining,Takeout
2024-02-25,Simulated expense for Food & Dining - Takeout,-31.08,USD,Food & Dining,Takeout
2024-02-10,Simulated expense for Food & Dining - Takeout,-15.71,USD,Food & Dining,Takeout
2024-02-27,Simulated expense for Food & Dining - Takeout,-17.46,USD,Food & Dining,Takeout
2024-02-28,Simulated expense for Food & Dining - Takeout,-13.14,USD,Food & Dining,Takeout
2024-02-04,Simulated expense for Utilities - Electricity and Water and Gas,-103.99,USD,Utilities,Electricity and Water and Gas
2024-02-18,Simulated expense for Accommodation - Accommodation,-1317.83,USD,Accommodation,Accommodation
2024-02-15,Simulated expense for Incoming P2P Transfers - Incoming Money,486.49,USD,Incoming P2P Transfers,Incoming Money
2024-02-05,Simulated expense for Incoming P2P Transfers - Incoming Money,673.74,USD,Incoming P2P Transfers,Incoming Money
2024-02-26,Simulated expense for Incoming P2P Transfers - Incoming Money,994.39,USD,Incoming P2P Transfers,Incoming Money
2024-02-14,Simulated expense for Incoming P2P Transfers - Incoming Money,312.2,USD,Incoming P2P Transfers,Incoming Money
2024-02-29,Simulated expense for Incoming P2P Transfers - Incoming Money,77.77,USD,Incoming P2P Transfers,Incoming Money
2024-02-10,Simulated expense for Outgoing P2P Transfers - Outgoing Money,-466.41,USD,Outgoing P2P Transfers,Outgoing Money
2024-02-26,Simulated expense for Outgoing P2P Transfers - Outgoing Money,-761.26,USD,Outgoing P2P Transfers,Outgoing Money
2024-02-25,Simulated expense for Outgoing P2P Transfers - Outgoing Money,-384.74,USD,Outgoing P2P Transfers,Outgoing Money
2024-02-04,Simulated expense for Cash Withdrawal - Cash Withdrawal,-21.79,USD,Cash Withdrawal,Cash Withdrawal
2024-02-27,Simulated expense for Cash Withdrawal - Cash Withdrawal,-186.39,USD,Cash Withdrawal,Cash Withdrawal
2024-02-16,Simulated expense for Cash Withdrawal - Cash Withdrawal,-194.3,USD,Cash Withdrawal,Cash Withdrawal
2024-02-02,Simulated expense for Cash Deposit - Cash Deposit,-139.7,USD,Cash Deposit,Cash Deposit
2024-02-05,Simulated expense for Cash Deposit - Cash Deposit,-257.19,USD,Cash Deposit,Cash Deposit
2024-02-25,Simulated expense for Transportation - Fuel,-34.97,USD,Transportation,Fuel
2024-02-17,Simulated expense for Transportation - Fuel,-27.43,USD,Transportation,Fuel
2024-02-09,Simulated expense for Transportation - Fuel,-18.99,USD,Transportation,Fuel
2024-02-26,Simulated expense for Transportation - Fuel,-16.22,USD,Transportation,Fuel
2024-02-16,Simulated expense for Transportation - Taxi,-16.76,USD,Transportation,Taxi
2024-02-28,Simulated expense for Transportation - Public Transportation,-34.9,USD,Transportation,Public Transportation
2024-02-26,Simulated expense for Transportation - Public Transportation,-37.8,USD,Transportation,Public Transportation
2024-02-01,Simulated expense for Transportation - Public Transportation,-45.91,USD,Transportation,Public Transportation
2024-02-08,Simulated expense for Transportation - Public Transportation,-48.89,USD,Transportation,Public Transportation
2024-02-11,Simulated expense for Transportation - Public Transportation,-49.25,USD,Transportation,Public Transportation
2024-02-23,Simulated expense for Transportation - Vehicle Maintenance,-467.28,USD,Transportation,Vehicle Maintenance
2024-02-05,Simulated expense for Healthcare - Medical Bills,-107.37,USD,Healthcare,Medical Bills
2024-02-04,Simulated expense for Healthcare - Health Insurance,-431.19,USD,Healthcare,Health Insurance
2024-02-05,Simulated expense for Healthcare - Medications,-13.11,USD,Healthcare,Medications
2024-02-27,Simulated expense for Retail Purchases - Clothes,-229.1,USD,Retail Purchases,Clothes
2024-02-22,Simulated expense for Retail Purchases - Clothes,-158.58,USD,Retail Purchases,Clothes
2024-02-21,Simulated expense for Retail Purchases - Clothes,-35.14,USD,Retail Purchases,Clothes
2024-02-23,Simulated expense for Retail Purchases - Clothes,-228.51,USD,Retail Purchases,Clothes
2024-02-21,Simulated expense for Retail Purchases - Technology Items,-94.14,USD,Retail Purchases,Technology Items
2024-02-23,Simulated expense for Retail Purchases - Technology Items,-95.2,USD,Retail Purchases,Technology Items
2024-02-14,Simulated expense for Retail Purchases - Technology Items,-68.61,USD,Retail Purchases,Technology Items
2024-02-14,Simulated expense for Retail Purchases - Other,-110.06,USD,Retail Purchases,Other
2024-02-02,Simulated expense for Retail Purchases - Other,-187.39,USD,Retail Purchases,Other
2024-02-07,Simulated expense for Personal Care - Personal Grooming,-25.24,USD,Personal Care,Personal Grooming
2024-02-10,Simulated expense for Online Subscriptions & Services - Streaming & Digital Subscriptions,-10.3,USD,Online Subscriptions & Services,Streaming & Digital Subscriptions
2024-02-16,Simulated expense for Online Subscriptions & Services - Streaming & Digital Subscriptions,-13.46,USD,Online Subscriptions & Services,Streaming & Digital Subscriptions
2024-02-06,Simulated expense for Online Subscriptions & Services - Cloud Server Payments,-51.6,USD,Online Subscriptions & Services,Cloud Server Payments
2024-03-20,Simulated expense for Food & Dining - Groceries,-108.85,USD,Food & Dining,Groceries
2024-03-13,Simulated expense for Food & Dining - Groceries,-127.51,USD,Food & Dining,Groceries
2024-03-06,Simulated expense for Food & Dining - Groceries,-108.09,USD,Food & Dining,Groceries
2024-03-08,Simulated expense for Food & Dining - Groceries,-124.24,USD,Food & Dining,Groceries
2024-03-31,Simulated expense for Food & Dining - Groceries,-47.09,USD,Food & Dining,Groceries
2024-03-27,Simulated expense for Food & Dining - Restaurants,-137.43,USD,Food & Dining,Restaurants
2024-03-09,Simulated expense for Food & Dining - Restaurants,-190.44,USD,Food & Dining,Restaurants
2024-03-14,Simulated expense for Food & Dining - Restaurants,-72.01,USD,Food & Dining,Restaurants
2024-03-10,Simulated expense for Food & Dining - Restaurants,-173.81,USD,Food & Dining,Restaurants
2024-03-05,Simulated expense for Food & Dining - Coffee,-11.33,USD,Food & Dining,Coffee
2024-03-22,Simulated expense for Food & Dining - Coffee,-14.33,USD,Food & Dining,Coffee
2024-03-19,Simulated expense for Food & Dining - Coffee,-6.47,USD,Food & Dining,Coffee
2024-03-31,Simulated expense for Food & Dining - Coffee,-2.57,USD,Food & Dining,Coffee
2024-03-02,Simulated expense for Food & Dining - Coffee,-11.62,USD,Food & Dining,Coffee
2024-03-21,Simulated expense for Food & Dining - Coffee,-13.01,USD,Food & Dining,Coffee
2024-03-10,Simulated expense for Food & Dining - Coffee,-12.77,USD,Food & Dining,Coffee
2024-03-02,Simulated expense for Food & Dining - Coffee,-12.49,USD,Food & Dining,Coffee
2024-03-30,Simulated expense for Food & Dining - Coffee,-9.37,USD,Food & Dining,Coffee
2024-03-18,Simulated expense for Food & Dining - Coffee,-8.7,USD,Food & Dining,Coffee
2024-03-18,Simulated expense for Food & Dining - Coffee,-9.04,USD,Food & Dining,Coffee
2024-03-01,Simulated expense for Food & Dining - Coffee,-8.78,USD,Food & Dining,Coffee
2024-03-27,Simulated expense for Food & Dining - Coffee,-4.53,USD,Food & Dining,Coffee
2024-03-02,Simulated expense for Food & Dining - Coffee,-2.86,USD,Food & Dining,Coffee
2024-03-24,Simulated expense for Food & Dining - Coffee,-4.73,USD,Food & Dining,Coffee
2024-03-09,Simulated expense for Food & Dining - Coffee,-6.27,USD,Food & Dining,Coffee
2024-03-12,Simulated expense for Food & Dining - Coffee,-6.02,USD,Food & Dining,Coffee
2024-03-18,Simulated expense for Food & Dining - Coffee,-13.04,USD,Food & Dining,Coffee
2024-03-29,Simulated expense for Food & Dining - Coffee,-8.32,USD,Food & Dining,Coffee
2024-03-27,Simulated expense for Food & Dining - Coffee,-12.73,USD,Food & Dining,Coffee
2024-03-26,Simulated expense for Food & Dining - Coffee,-6.76,USD,Food & Dining,Coffee
2024-03-01,Simulated expense for Food & Dining - Coffee,-8.75,USD,Food & Dining,Coffee
2024-03-21,Simulated expense for Food & Dining - Coffee,-14.17,USD,Food & Dining,Coffee
2024-03-24,Simulated expense for Food & Dining - Coffee,-10.37,USD,Food & Dining,Coffee
2024-03-03,Simulated expense for Food & Dining - Coffee,-2.08,USD,Food & Dining,Coffee
2024-03-13,Simulated expense for Food & Dining - Coffee,-8.97,USD,Food & Dining,Coffee
2024-03-26,Simulated expense for Food & Dining - Coffee,-8.92,USD,Food & Dining,Coffee
2024-03-06,Simulated expense for Food & Dining - Coffee,-14.85,USD,Food & Dining,Coffee
2024-03-10,Simulated expense for Food & Dining - Coffee,-3.71,USD,Food & Dining,Coffee
2024-03-30,Simulated expense for Food & Dining - Coffee,-14.55,USD,Food & Dining,Coffee
2024-03-15,Simulated expense for Food & Dining - Coffee,-10.56,USD,Food & Dining,Coffee
2024-03-29,Simulated expense for Food & Dining - Coffee,-8.87,USD,Food & Dining,Coffee
2024-03-18,Simulated expense for Food & Dining - Coffee,-6.54,USD,Food & Dining,Coffee
2024-03-08,Simulated expense for Food & Dining - Coffee,-4.1,USD,Food & Dining,Coffee
2024-03-05,Simulated expense for Food & Dining - Coffee,-3.25,USD,Food & Dining,Coffee
2024-03-23,Simulated expense for Food & Dining - Coffee,-6.84,USD,Food & Dining,Coffee
2024-03-21,Simulated expense for Food & Dining - Coffee,-12.72,USD,Food & Dining,Coffee
2024-03-01,Simulated expense for Food & Dining - Coffee,-12.9,USD,Food & Dining,Coffee
2024-03-28,Simulated expense for Food & Dining - Coffee,-4.65,USD,Food & Dining,Coffee
2024-03-06,Simulated expense for Food & Dining - Coffee,-6.46,USD,Food & Dining,Coffee
2024-03-22,Simulated expense for Food & Dining - Coffee,-4.87,USD,Food & Dining,Coffee
2024-03-07,Simulated expense for Food & Dining - Coffee,-10.05,USD,Food & Dining,Coffee
2024-03-26,Simulated expense for Food & Dining - Coffee,-2.99,USD,Food & Dining,Coffee
2024-03-14,Simulated expense for Food & Dining - Coffee,-12.04,USD,Food & Dining,Coffee
2024-03-14,Simulated expense for Food & Dining - Takeout,-21.08,USD,Food & Dining,Takeout
2024-03-07,Simulated expense for Food & Dining - Takeout,-39.49,USD,Food & Dining,Takeout
2024-03-08,Simulated expense for Food & Dining - Takeout,-11.62,USD,Food & Dining,Takeout
2024-03-24,Simulated expense for Food & Dining - Takeout,-23.45,USD,Food & Dining,Takeout
2024-03-24,Simulated expense for Food & Dining - Takeout,-44.65,USD,Food & Dining,Takeout
2024-03-31,Simulated expense for Food & Dining - Takeout,-43.87,USD,Food & Dining,Takeout
2024-03-03,Simulated expense for Food & Dining - Takeout,-9.32,USD,Food & Dining,Takeout
2024-03-05,Simulated expense for Food & Dining - Takeout,-18.89,USD,Food & Dining,Takeout
2024-03-06,Simulated expense for Food & Dining - Takeout,-49.12,USD,Food & Dining,Takeout
2024-03-29,Simulated expense for Utilities - Electricity and Water and Gas,-110.94,USD,Utilities,Electricity and Water and Gas
2024-03-11,Simulated expense for Utilities - Electricity and Water and Gas,-295.86,USD,Utilities,Electricity and Water and Gas
2024-03-02,Simulated expense for Accommodation - Accommodation,-1306.13,USD,Accommodation,Accommodation
2024-03-26,Simulated expense for Outgoing P2P Transfers - Outgoing Money,-29.21,USD,Outgoing P2P Transfers,Outgoing Money
2024-03-14,Simulated expense for Outgoing P2P Transfers - Outgoing Money,-573.09,USD,Outgoing P2P Transfers,Outgoing Money
2024-03-13,Simulated expense for Outgoing P2P Transfers - Outgoing Money,-167.55,USD,Outgoing P2P Transfers,Outgoing Money
2024-03-24,Simulated expense for Outgoing P2P Transfers - Outgoing Money,-756.16,USD,Outgoing P2P Transfers,Outgoing Money
2024-03-06,Simulated expense for Cash Withdrawal - Cash Withdrawal,-193.9,USD,Cash Withdrawal,Cash Withdrawal
2024-03-08,Simulated expense for Cash Deposit - Cash Deposit,-242.41,USD,Cash Deposit,Cash Deposit
2024-03-17,Simulated expense for Cash Deposit - Cash Deposit,-402.5,USD,Cash Deposit,Cash Deposit
2024-03-28,Simulated expense for Transportation - Fuel,-26.21,USD,Transportation,Fuel
2024-03-02,Simulated expense for Transportation - Fuel,-18.88,USD,Transportation,Fuel
2024-03-02,Simulated expense for Transportation - Fuel,-30.83,USD,Transportation,Fuel
2024-03-22,Simulated expense for Transportation - Taxi,-17.54,USD,Transportation,Taxi
2024-03-12,Simulated expense for Transportation - Taxi,-11.18,USD,Transportation,Taxi
2024-03-20,Simulated expense for Transportation - Taxi,-18.1,USD,Transportation,Taxi
2024-03-15,Simulated expense for Transportation - Taxi,-16.39,USD,Transportation,Taxi
2024-03-08,Simulated expense for Transportation - Taxi,-13.71,USD,Transportation,Taxi
2024-03-17,Simulated expense for Transportation - Taxi,-11.52,USD,Transportation,Taxi
2024-03-13,Simulated expense for Transportation - Taxi,-12.04,USD,Transportation,Taxi
2024-03-30,Simulated expense for Transportation - Taxi,-13.27,USD,Transportation,Taxi
2024-03-18,Simulated expense for Transportation - Taxi,-18.9,USD,Transportation,Taxi
2024-03-29,Simulated expense for Transportation - Taxi,-11.87,USD,Transportation,Taxi
2024-03-17,Simulated expense for Transportation - Taxi,-10.98,USD,Transportation,Taxi
2024-03-02,Simulated expense for Transportation - Taxi,-11.99,USD,Transportation,Taxi
2024-03-13,Simulated expense for Transportation - Taxi,-15.39,USD,Transportation,Taxi
2024-03-29,Simulated expense for Transportation - Taxi,-18.12,USD,Transportation,Taxi
2024-03-07,Simulated expense for Transportation - Taxi,-11.16,USD,Transportation,Taxi
2024-03-11,Simulated expense for Transportation - Taxi,-11.37,USD,Transportation,Taxi
2024-03-07,Simulated expense for Transportation - Public Transportation,-42.53,USD,Transportation,Public Transportation
2024-03-04,Simulated expense for Transportation - Public Transportation,-22.92,USD,Transportation,Public Transportation
2024-03-18,Simulated expense for Healthcare - Medical Bills,-325.46,USD,Healthcare,Medical Bills
2024-03-13,Simulated expense for Healthcare - Health Insurance,-433.76,USD,Healthcare,Health Insurance
2024-03-18,Simulated expense for Retail Purchases - Clothes,-181.14,USD,Retail Purchases,Clothes
2024-03-27,Simulated expense for Retail Purchases - Clothes,-100.83,USD,Retail Purchases,Clothes
2024-03-04,Simulated expense for Retail Purchases - Technology Items,-67.53,USD,Retail Purchases,Technology Items
